"CHEBI"	"prefLabel"	"altLabel"
"CHEBI:48032"	"4-methylene-D-glutamic acid"	"4-methylidene-D-glutamic acid"
"CHEBI:51876"	"auramine O"	"4,4'-carbonimidoylbis(N,N-dimethylaniline) hydrochloride"
"CHEBI:51876"	"auramine O"	"bis[4-(dimethylamino)phenyl]methaniminium chloride"
"CHEBI:60698"	"4-bromobenzoic acid"	"4-bromobenzoic acid"
"CHEBI:8355"	"pralidoxime chloride"	"2-[(E)-(hydroxyimino)methyl]-1-methylpyridinium chloride"
"CHEBI:27794"	"isoferulic acid"	"(2E)-3-(3-hydroxy-4-methoxyphenyl)prop-2-enoic acid"
"CHEBI:28671"	"cuminaldehyde"	"4-(propan-2-yl)benzaldehyde"
"CHEBI:34090"	"1-Hydroxy-2-acetamidofluorene"	"1-Hydroxy-2-acetamidofluorene"
"CHEBI:35547"	"perfluoroheptanoic acid"	"perfluoroheptanoic acid"
"CHEBI:35547"	"perfluoroheptanoic acid"	"tridecafluoroheptanoic acid"
"CHEBI:50013"	"hydrobenzoin"	"1,2-diphenylethane-1,2-diol"
"CHEBI:50720"	"2-methylnaphthalene"	"2-Methylnaphthalene"
"CHEBI:53090"	"1,3-dicyclohexylcarbodiimide"	"1,3-Dicyclohexylcarbodiimide"
"CHEBI:53090"	"1,3-dicyclohexylcarbodiimide"	"dicyclohexylmethanediimine"
"CHEBI:6731"	"melezitose"	"Melezitose"
"CHEBI:6731"	"melezitose"	"alpha-D-glucopyranosyl-(1->3)-beta-D-fructofuranosyl alpha-D-glucopyranoside"
"CHEBI:8102"	"phenylmethanesulfonyl fluoride"	"Phenylmethanesulfonyl fluoride"
"CHEBI:8102"	"phenylmethanesulfonyl fluoride"	"phenylmethanesulfonyl fluoride"
"CHEBI:9241"	"spironolactone"	"Spironolactone"
"CHEBI:9241"	"spironolactone"	"7alpha-(acetylsulfanyl)-3-oxo-17alpha-pregn-4-ene-21,17-carbolactone"
"CHEBI:72568"	"MTIC"	"5-(3-methyltriaz-1-en-1-yl)-1H-imidazole-4-carboxamide"
"CHEBI:2756"	"anthracene-1,8,9-triol"	"anthracene-1,8,9-triol"
"CHEBI:28855"	"enterobactin"	"Enterobactin"
"CHEBI:28855"	"enterobactin"	"N,N',N''-[(3S,7S,11S)-2,6,10-trioxo-1,5,9-trioxacyclododecane-3,7,11-triyl]tris(2,3-dihydroxybenzamide)"
"CHEBI:30118"	"tetrachloroplatinate(2-)"	"tetrachloridoplatinate(2-)"
"CHEBI:30118"	"tetrachloroplatinate(2-)"	"tetrachloridoplatinate(II)"
"CHEBI:30118"	"tetrachloroplatinate(2-)"	"tetrachloroplatinate(2-)"
"CHEBI:39073"	"6-carboxyfluorescein"	"3',6'-dihydroxy-3-oxo-3H-spiro[2-benzofuran-1,9'-xanthene]-6-carboxylic acid"
"CHEBI:44194"	"butylbenzene"	"butylbenzene"
"CHEBI:45658"	"S-methylcysteine"	"S-METHYLCYSTEINE"
"CHEBI:45658"	"S-methylcysteine"	"S-methyl-L-cysteine"
"CHEBI:49086"	"CDP-choline(1+)"	"5'-O-[hydroxy({hydroxy[2-(trimethylammonio)ethoxy]phosphoryl}oxy)phosphoryl]cytidine"
"CHEBI:63961"	"glycyl-glycyl-glycine"	"glycylglycylglycine"
"CHEBI:76227"	"(R)-ketorolac"	"(1R)-5-benzoyl-2,3-dihydro-1H-pyrrolizine-1-carboxylic acid"
"CHEBI:78018"	"dodecylphosphocholine"	"dodecyl 2-(trimethylazaniumyl)ethyl phosphate"
"CHEBI:9391"	"talampicillin"	"3-oxo-1,3-dihydro-2-benzofuran-1-yl (2S,5R,6R)-6-{[(2R)-2-amino-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylate"
"CHEBI:9391"	"talampicillin"	"Talampicillin"
"CHEBI:16517"	"cyclotriphosphoric acid"	"1,3,5,2,4,6-trioxatriphosphinane-2,4,6-triol 2,4,6-trioxide"
"CHEBI:16517"	"cyclotriphosphoric acid"	"tri-mu-oxido-tris(hydroxidooxidophosphorus)"
"CHEBI:16517"	"cyclotriphosphoric acid"	"2,4,6-trihydroxido-2,4,6-trioxido-1,3,5-trioxy-2,4,6-triphosphy-[6]cycle"
"CHEBI:46705"	"(+)-geosmin"	"(4R,4aR,8aS)-4,8a-dimethyloctahydronaphthalen-4a(2H)-ol"
"CHEBI:77714"	"1,1-diethyl-2-hydroxy-3-oxotriazane"	"1,1-diethyl-2-hydroxy-3-oxotriazane"
"CHEBI:38759"	"isocoumarin"	"1H-isochromen-1-one"
"CHEBI:52091"	"3-chloroperbenzoic acid"	"3-chlorobenzenecarboperoxoic acid"
"CHEBI:88327"	"dafadine A"	"{5-[(2,6-dimethylphenoxy)methyl]-1,2-oxazol-3-yl}[4-(pyridin-4-yl)piperidin-1-yl]methanone"
"CHEBI:89605"	"Alpha-Linolenoyl ethanolamide"	"(9Z,12Z,15Z)-N-(2-hydroxyethyl)octadeca-9,12,15-trienamide"
"CHEBI:34981"	"Stovaine"	"Stovaine"
"CHEBI:34981"	"Stovaine"	"stovaine"
"CHEBI:64108"	"8-bromo-3',5'-cyclic GMP"	"8-bromoguanosine 3',5'-(hydrogen phosphate)"
"CHEBI:17327"	"phytol"	"(2E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol"
"CHEBI:17327"	"phytol"	"Phytol"
"CHEBI:17327"	"phytol"	"phytol"
"CHEBI:34735"	"edifenphos"	"Edifenphos"
"CHEBI:34735"	"edifenphos"	"O-ethyl S,S-diphenyl phosphorodithioate"
"CHEBI:70710"	"eribulin mesylate"	"2-(3-amino-2-hydroxypropyl)hexacosahydro-3-methoxy-26-methyl-20,27-bis(methylene)11,15-18,21-24,28-triepoxy-7,9-ethano-12,15-methano-9H,15H-furo(3,2-i)furo(2',3'-5,6)pyrano(4,3-b)(1,4)dioxacyclopentacosin-5-(4H)-one methanesulfonate"
"CHEBI:74727"	"3,6-diamino-10-methylacridinium chloride.HCl"	"3,6-diamino-10-methylacridinium chloride hydrochloride"
"CHEBI:82658"	"N-benzyl-N-methyl-2-(3-oxo-1,2-benzothiazol-2-yl)acetamide"	"N-benzyl-N-methyl-2-(3-oxo-1,2-benzothiazol-2(3H)-yl)acetamide"
"CHEBI:89666"	"Angiotensin III"	"(2S)-2-{[(2S)-1-[(2S)-2-[(2S,3S)-2-[(2S)-2-[(2S)-2-[(2S)-2-amino-5-[(diaminomethylidene)amino]pentanamido]-3-methylbutanamido]-3-(4-hydroxyphenyl)propanamido]-3-methylpentanamido]-3-(1H-imidazol-5-yl)propanoyl]pyrrolidin-2-yl]formamido}-3-phenylpropanoic acid"
"CHEBI:15702"	"terephthalic acid"	"Terephthalic acid"
"CHEBI:15702"	"terephthalic acid"	"benzene-1,4-dicarboxylic acid"
"CHEBI:15702"	"terephthalic acid"	"terephthalic acid"
"CHEBI:32211"	"tetrangomycin"	"Tetrangomycin"
"CHEBI:32211"	"tetrangomycin"	"(3R)-3,8-dihydroxy-3-methyl-3,4-dihydrotetraphene-1,7,12(2H)-trione"
"CHEBI:32298"	"vitexin 2''-O-alpha-L-rhamnoside"	"(1S)-1,5-anhydro-2-O-(alpha-L-rhamnopyranosyl)-1-[5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-4H-chromen-8-yl]-D-glucitol"
"CHEBI:53644"	"sequirin C"	"4-[(1S,2E)-1-[(1S)-1,2-dihydroxyethyl]-3-(4-hydroxyphenyl)prop-2-en-1-yl]benzene-1,2-diol"
"CHEBI:60370"	"(R)-etodolac"	"[(1R)-1,8-diethyl-1,3,4,9-tetrahydropyrano[3,4-b]indol-1-yl]acetic acid"
"CHEBI:68340"	"beta-(4-hydroxyphenyl)ethyl-4-O-E-caffeoyl-O-[beta-D-apiofuranosyl-(1->2)]-beta-D-glucopyranoside"	"2-(4-hydroxyphenyl)ethyl 2-O-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)tetrahydrofuran-2-yl]-4-O-[(2E)-3-(3,4-dihydroxyphenyl)prop-2-enoyl]-beta-D-glucopyranoside"
"CHEBI:68373"	"(-)-(2S)-5,7,2'-trihydroxy-5'-(1''',1'''-dimethylallyl)-8-prenylflavanone"	"(2S)-5,7-dihydroxy-2-[2-hydroxy-5-(2-methylbut-3-en-2-yl)phenyl]-8-(3-methylbut-2-en-1-yl)-2,3-dihydro-4H-chromen-4-one"
"CHEBI:68374"	"(-)-(2S)-5,7,2'-trihydroxy-8,3'-diprenylflavanone"	"(2S)-5,7-dihydroxy-2-[2-hydroxy-3-(3-methylbut-2-en-1-yl)phenyl]-8-(3-methylbut-2-en-1-yl)-2,3-dihydro-4H-chromen-4-one"
"CHEBI:68375"	"(-)-(2S)-5,2'-dihydroxy-6'',6''-dimethylchromeno-(7,8:2'',3'')-3'-prenylflavanone"	"(2S)-5-hydroxy-2-[2-hydroxy-3-(3-methylbut-2-en-1-yl)phenyl]-8,8-dimethyl-2,3-dihydro-4H,8H-pyrano[2,3-f]chromen-4-one"
"CHEBI:70010"	"comazaphilone A"	"rel-(6R,7R)-6-hydroxy-7-methyl-8-oxo-3-propyl-5,6,7,8-tetrahydro-1H-isochromen-7-yl 4-hydroxy-2-methoxy-6-methylbenzoate"
"CHEBI:70011"	"comazaphilone B"	"rel-(6R,7R)-6-hydroxy-7-methyl-8-oxo-3-propyl-5,6,7,8-tetrahydro-1H-isochromen-7-yl 3,4-dihydroxy-2-methoxy-6-methylbenzoate"
"CHEBI:70012"	"comazaphilone C"	"rel-(6R,7R)-6-hydroxy-7-methyl-8-oxo-3-[(1E)-prop-1-en-1-yl]-5,6,7,8-tetrahydro-1H-isochromen-7-yl 3,4-dihydroxy-2-methoxy-6-methylbenzoate"
"CHEBI:70013"	"comazaphilone D"	"rel-(6R,7R)-7-hydroxy-7-methyl-8-oxo-3-[(1E)-prop-1-en-1-yl]-5,6,7,8-tetrahydro-1H-isochromen-6-yl 2,4-dihydroxy-6-methylbenzoate"
"CHEBI:70014"	"comazaphilone E"	"rel-(6R,7R)-7-hydroxy-7-methyl-8-oxo-3-[(1E)-prop-1-en-1-yl]-5,6,7,8-tetrahydro-1H-isochromen-6-yl 3,4-dihydroxy-2-methoxy-6-methylbenzoate"
"CHEBI:70015"	"comazaphilone F"	"rel-(6R,7R)-7-hydroxy-7-methyl-8-oxo-3-propyl-5,6,7,8-tetrahydro-1H-isochromen-6-yl 3,4-dihydroxy-2-methoxy-6-methylbenzoate"
"CHEBI:84244"	"1,2-dihexadecanoyl-sn-glycero-3-phospho-(1D-myo-inositol-3,4,5-trisphosphate)"	"(2R)-3-{[{[(1S,2S,3R,4S,5S,6S)-2,6-dihydroxy-3,4,5-tris(phosphonooxy)cyclohexyl]oxy}(hydroxy)phosphoryl]oxy}propane-1,2-diyl dihexadecanoate"
"CHEBI:28871"	"6-methylaminopurine"	"6-Methylaminopurine"
"CHEBI:28871"	"6-methylaminopurine"	"N-methyl-9H-purin-6-amine"
"CHEBI:32272"	"Tulobuterol hydrochloride"	"Tulobuterol hydrochloride"
"CHEBI:32797"	"(S)-2-hydroxyglutaric acid"	"(2S)-2-hydroxypentanedioic acid"
"CHEBI:62166"	"DCC-2036"	"4-[4-({[3-tert-butyl-1-(quinolin-6-yl)-1H-pyrazol-5-yl]carbamoyl}amino)-3-fluorophenoxy]-N-methylpyridine-2-carboxamide"
"CHEBI:72475"	"acetoguanamine"	"6-methyl-1,3,5-triazine-2,4-diamine"
"CHEBI:72475"	"acetoguanamine"	"ACETOGUANAMINE"
"CHEBI:77097"	"1-stearoyl-2-linoleoyl-sn-glycerol"	"(2S)-1-hydroxy-3-(octadecanoyloxy)propan-2-yl (9Z,12Z)-octadeca-9,12-dienoate"
"CHEBI:86996"	"(R)-fluoxetine hydrochloride"	"(3R)-N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine hydrochloride"
"CHEBI:28001"	"vancomycin"	"VANCOMYCIN"
"CHEBI:28001"	"vancomycin"	"Vancomycin"
"CHEBI:28001"	"vancomycin"	"(3S,6R,7R,11R,23S,26S,30aS,36R,38aR)-44-[2-O-(3-amino-2,3,6-trideoxy-3-C-methyl-alpha-L-lyxo-hexopyranosyl)-beta-D-glucopyranosyloxy]-3-(carbamoylmethyl)-10,19-dichloro-2,3,4,5,6,7,23,25,26,36,37,38,38a-tetradecahydro-7,22,28,30,32-pentahydroxy-6-(N-methyl-D-leucyl)-2,5,24,38,39-pentaoxo-1H,22H-23,36-(epiminomethano)-8,11:18,21-dietheno-13,16:31,35-di(metheno)[1,6,9]oxadiazacyclohexadecino[4,5-m][10,2,16]benzoxadiazacyclotetracosine-26-carboxylic acid"
"CHEBI:29672"	"resorcinol monoacetate"	"3-hydroxyphenyl acetate"
"CHEBI:5613"	"haloperidol"	"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one"
"CHEBI:64139"	"(2R,3S)-EHNA hydrochloride"	"(2R,3S)-3-(6-amino-9H-purin-9-yl)nonan-2-ol hydrochloride"
"CHEBI:6822"	"Methazolamide"	"Methazolamide"
"CHEBI:81240"	"ursocholic acid"	"3alpha,7beta,12alpha-trihydroxy-5beta-cholan-24-oic acid"
"CHEBI:83685"	"arasertaconazole"	"1-[(2R)-2-[(7-chloro-1-benzothiophen-3-yl)methoxy]-2-(2,4-dichlorophenyl)ethyl]-1H-imidazole"
"CHEBI:86990"	"N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine"	"N-methyl-3-phenyl-3-[4-(trifluoromethyl)phenoxy]propan-1-amine"
"CHEBI:72753"	"6-hydroxy-L-dopa"	"2,5-dihydroxy-L-tyrosine"
"CHEBI:8349"	"pradimicin A"	"(2R)-2-({[(5S,6S)-1,6,9,14-tetrahydroxy-5-{[(2S,3R,4S,5S,6R)-3-hydroxy-6-methyl-5-(methylamino)-4-{[(2S,3R,4S,5R)-3,4,5-trihydroxytetrahydro-2H-pyran-2-yl]oxy}tetrahydro-2H-pyran-2-yl]oxy}-11-methoxy-3-methyl-8,13-dioxo-5,6,8,13-tetrahydrobenzo[a]tetracen-2-yl]carbonyl}amino)propanoic acid"
"CHEBI:83667"	"1-{2-[(2,6-dichlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethyl}imidazole"	"1-{2-[(2,6-dichlorobenzyl)oxy]-2-(2,4-dichlorophenyl)ethyl}-1H-imidazole"
"CHEBI:38720"	"(S)-thiomalic acid"	"(2S)-2-sulfanylbutanedioic acid"
"CHEBI:67443"	"ananolignan F"	"(5R,6S,7R,8R)-1,2,3,13-tetramethoxy-6,7-dimethyl-5,6,7,8-tetrahydrobenzo[3',4']cycloocta[1',2':4,5]benzo[1,2-d][1,3]dioxole-5,8-diyl diacetate"
"CHEBI:67567"	"minabeolide 2"	"(22R)-3,26-dioxo-22,26-epoxyergosta-1,4,24-trien-18-yl acetate"
"CHEBI:68042"	"23-acetoxy-12-epi-deoxoscalarin"	"rel[(1R,5aS,5bR,7aS,11aR,11bS,13R,13aS,13bS)-13-(acetyloxy)-1-hydroxy-5b,8,8,13a-tetramethyl-1,5,5a,5b,6,7,7a,8,9,10,11,11b,12,13,13a,13b-hexadecahydrochryseno[1,2-c]furan-11a(3H)-yl]methyl acetate"
"CHEBI:82979"	"1-(4-{[2-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)-4-isopropylpiperazine"	"1-(4-{[2-(2,4-dichlorophenyl)-2-(1H-1,2,4-triazol-1-ylmethyl)-1,3-dioxolan-4-yl]methoxy}phenyl)-4-isopropylpiperazine"
"CHEBI:16619"	"(2-trans,6-trans)-farnesol"	"(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trien-1-ol"
"CHEBI:272"	"(D-Ala(2)-mephe(4)-gly-ol(5))enkephalin"	"(D-Ala(2)-mephe(4)-gly-ol(5))enkephalin"
"CHEBI:27916"	"2'-hydroxychalcone"	"(2E)-1-(2-hydroxyphenyl)-3-phenylprop-2-en-1-one"
"CHEBI:27916"	"2'-hydroxychalcone"	"2'-Hydroxychalcone"
"CHEBI:28787"	"nitroglycerin"	"1,2,3-trinitrooxypropane"
"CHEBI:28787"	"nitroglycerin"	"Nitroglycerin"
"CHEBI:34288"	"2-hydroxyethyl methacrylate"	"2-Hydroxyethyl methacrylate"
"CHEBI:34288"	"2-hydroxyethyl methacrylate"	"2-hydroxyethyl methacrylate"
"CHEBI:35004"	"Tetrachlorobisphenol A"	"Tetrachlorobisphenol A"
"CHEBI:3908"	"coumestrol"	"3,9-dihydroxy-6H-[1]benzofuro[3,2-c]chromen-6-one"
"CHEBI:3908"	"coumestrol"	"Coumestrol"
"CHEBI:53621"	"chloromethylisothiazolinone"	"5-chloro-2-methyl-1,2-thiazol-3(2H)-one"
"CHEBI:70649"	"liriodenine"	"Liriodenine"
"CHEBI:70649"	"liriodenine"	"8H-[1,3]benzodioxolo[6,5,4-de]benzo[g]quinolin-8-one"
"CHEBI:74475"	"hexadecanamide"	"hexadecanamide"
"CHEBI:7735"	"olanzapine"	"Olanzapine"
"CHEBI:7735"	"olanzapine"	"2-methyl-4-(4-methylpiperazin-1-yl)-10H-thieno[2,3-b][1,5]benzodiazepine"
"CHEBI:7809"	"oxacillin"	"Oxacillin"
"CHEBI:7809"	"oxacillin"	"2,2-dimethyl-6beta-(5-methyl-3-phenyl-1,2-oxazole-4-carboxamido)penam-3alpha-carboxylic acid"
"CHEBI:8378"	"prednisolone"	"11beta,17,21-trihydroxypregna-1,4-diene-3,20-dione"
"CHEBI:90539"	"1-[5-t-butyl-2-(4-methylphenyl)pyrazol-3-yl]-3-[4-(2-phenylmethoxyethyl)-1,3-thiazol-2-yl]urea"	"N-{4-[2-(benzyloxy)ethyl]-1,3-thiazol-2-yl}-N'-[3-tert-butyl-1-(4-methylphenyl)-1H-pyrazol-5-yl]urea"
"CHEBI:27616"	"psoralen"	"7H-furo[3,2-g]chromen-7-one"
"CHEBI:27616"	"psoralen"	"Psoralen"
"CHEBI:27616"	"psoralen"	"psoralen"
"CHEBI:4489"	"Diallyl sulfide"	"3-(prop-2-en-1-ylsulfanyl)prop-1-ene"
"CHEBI:4489"	"Diallyl sulfide"	"Diallyl sulfide"
"CHEBI:53208"	"S-2-(dimethylamino)ethyl thiosulfate"	"S-[2-(dimethylamino)ethyl] hydrogen sulfurothioate"
"CHEBI:59919"	"dihydro-alpha-ergocryptine"	"(10alphaH)-12'-hydroxy-5'alpha-(2-methylpropyl)-3',6',18-trioxo-2'-(propan-2-yl)-9,10-dihydroergotaman"
"CHEBI:64064"	"2-(hydroxymethyl)-4-(1-hydroxy-2-{[6-(4-phenylbutoxy)hexyl]amino}ethyl)phenol"	"2-(hydroxymethyl)-4-(1-hydroxy-2-{[6-(4-phenylbutoxy)hexyl]amino}ethyl)phenol"
"CHEBI:6437"	"levetiracetam"	"(2S)-2-(2-oxopyrrolidin-1-yl)butanamide"
"CHEBI:6437"	"levetiracetam"	"Levetiracetam"
"CHEBI:68037"	"12-epi-19-O-methylscalarin"	"(1R,5aS,5bR,7aS,11aS,11bR,13R,13aS,13bR)-1-methoxy-5b,8,8,11a,13a-pentamethyl-3-oxo-1,3,5,5a,5b,6,7,7a,8,9,10,11,11a,11b,12,13,13a,13b-octadecahydrochryseno[1,2-c]furan-13-yl acetate"
"CHEBI:68040"	"12-O-deacetyl-19-O-methyl-12-epi-deoxoscalarin"	"(1R,5aS,5bR,7aS,11aS,11bR,13R,13aS,13bS)-1-methoxy-5b,8,8,11a,13a-pentamethyl-1,3,5,5a,5b,6,7,7a,8,9,10,11,11a,11b,12,13,13a,13b-octadecahydrochryseno[1,2-c]furan-13-ol"
"CHEBI:68043"	"23-acetoxy-12-O-deacetyl-12-epi-deoxoscalarin"	"rel-[(1R,5aS,5bR,7aS,11aR,11bS,13R,13aS,13bS)-1,13-dihydroxy-5b,8,8,13a-tetramethyl-1,5,5a,5b,6,7,7a,8,9,10,11,11b,12,13,13a,13b-hexadecahydrochryseno[1,2-c]furan-11a(3H)-yl]methyl acetate"
"CHEBI:68917"	"cucurbitacin I 2-O-beta-D-glucopyranoside"	"(4R,9beta,16alpha,23E)-16,20,25-trihydroxy-9,10,14-trimethyl-1,11,22-trioxo-4,9-cyclo-9,10-secocholesta-2,5,23-trien-2-yl beta-D-glucopyranoside"
"CHEBI:70080"	"4-hydroxycordoin"	"(2E)-1-{2-hydroxy-4-[(3-methylbut-2-en-1-yl)oxy]phenyl}-3-(4-hydroxyphenyl)prop-2-en-1-one"
"CHEBI:82729"	"N(2)-acetyl-6-formylpterin"	"N-(6-formyl-4-oxo-3,4-dihydropteridin-2-yl)acetamide"
"CHEBI:83528"	"D617"	"2-(3,4-dimethoxyphenyl)-5-(methylamino)-2-(propan-2-yl)pentanenitrile"
"CHEBI:9426"	"tectochrysin"	"5-hydroxy-7-methoxy-2-phenyl-4H-1-benzopyran-4-one"
"CHEBI:1427"	"3-(3-hydroxyphenyl)propanoic acid"	"3-(3-hydroxyphenyl)propanoic acid"
"CHEBI:17434"	"trimethylsulfonium"	"Trimethylsulfonium"
"CHEBI:17434"	"trimethylsulfonium"	"trimethylsulfonium"
"CHEBI:27947"	"D-histidine"	"(2R)-2-amino-3-(1H-imidazol-4-yl)propanoic acid"
"CHEBI:27947"	"D-histidine"	"D-HISTIDINE"
"CHEBI:27947"	"D-histidine"	"D-Histidine"
"CHEBI:27947"	"D-histidine"	"D-histidine"
"CHEBI:28157"	"pinocembrin"	"(2S)-5,7-dihydroxy-2-phenyl-2,3-dihydro-4H-chromen-4-one"
"CHEBI:31257"	"bendazac"	"[(1-benzyl-1H-indazol-3-yl)oxy]acetic acid"
"CHEBI:32807"	"o-orsellinic acid"	"2,4-dihydroxy-6-methylbenzoic acid"
"CHEBI:32807"	"o-orsellinic acid"	"o-Orsellinic acid"
"CHEBI:34292"	"1,3-benzothiazole-2-thiol"	"1,3-benzothiazole-2-thiol"
"CHEBI:51775"	"coumarin 152"	"7-(dimethylamino)-4-(trifluoromethyl)-2H-chromen-2-one"
"CHEBI:59053"	"N-cyclohexyl-N'-(2-(4-morpholinyl)ethyl)carbodiimide"	"N-cyclohexyl-N'-[2-(morpholin-4-yl)ethyl]carbodiimide"
"CHEBI:65899"	"flavokawain B"	"(2E)-1-(2-hydroxy-4,6-dimethoxyphenyl)-3-phenylprop-2-en-1-one"
"CHEBI:88526"	"Vanillactic acid"	"2-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoic acid"
"CHEBI:66518"	"SPF-32629B"	"4-hydroxy-6-{[(3-methylbutanoyl)oxy](phenyl)methyl}-2-oxo-1,2-dihydropyridine-3-carboxylic acid"
"CHEBI:76252"	"mofebutazone"	"4-butyl-1-phenylpyrazolidine-3,5-dione"
"CHEBI:34524"	"Adenophostin A"	"Adenophostin A"
"CHEBI:81841"	"cyazofamid"	"4-chloro-2-cyano-N,N-dimethyl-5-(4-methylphenyl)-1H-imidazole-1-sulfonamide"
